,Name,Formula,Label,sample_name,Intensity,info1,info2,Parent
0,L-Methionine,C5H10NO2S,C12 PARENT,sample_1,3669565.0,cellline_1,culture_1,L-Methionine
1,L-Methionine,C5H10NO2S,C13-label-1,sample_1,155707.0,cellline_1,culture_1,L-Methionine
2,L-Methionine,C5H10NO2S,C13-label-2,sample_1,0.0,cellline_1,culture_1,L-Methionine
3,L-Methionine,C5H10NO2S,C13-label-3,sample_1,0.0,cellline_1,culture_1,L-Methionine
4,L-Methionine,C5H10NO2S,C13-label-4,sample_1,0.0,cellline_1,culture_1,L-Methionine
5,L-Methionine,C5H10NO2S,N15-label-1,sample_1,3099.053,cellline_1,culture_1,L-Methionine
6,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_1,0.0,cellline_1,culture_1,L-Methionine
7,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_1,3240.703,cellline_1,culture_1,L-Methionine
8,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_1,48546.84,cellline_1,culture_1,L-Methionine
9,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_1,0.0,cellline_1,culture_1,L-Methionine
10,L-Methionine,C5H10NO2S,C12 PARENT,sample_2,3354688.0,cellline_2,culture_2,L-Methionine
11,L-Methionine,C5H10NO2S,C13-label-1,sample_2,170952.4,cellline_2,culture_2,L-Methionine
12,L-Methionine,C5H10NO2S,C13-label-2,sample_2,1993.996,cellline_2,culture_2,L-Methionine
13,L-Methionine,C5H10NO2S,C13-label-3,sample_2,0.0,cellline_2,culture_2,L-Methionine
14,L-Methionine,C5H10NO2S,C13-label-4,sample_2,0.0,cellline_2,culture_2,L-Methionine
15,L-Methionine,C5H10NO2S,N15-label-1,sample_2,4803.446,cellline_2,culture_2,L-Methionine
16,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_2,0.0,cellline_2,culture_2,L-Methionine
17,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_2,6059.439,cellline_2,culture_2,L-Methionine
18,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_2,46958.52,cellline_2,culture_2,L-Methionine
19,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_2,0.0,cellline_2,culture_2,L-Methionine
20,L-Methionine,C5H10NO2S,C12 PARENT,sample_3,6681256.0,cellline_3,culture_3,L-Methionine
21,L-Methionine,C5H10NO2S,C13-label-1,sample_3,366000.1,cellline_3,culture_3,L-Methionine
22,L-Methionine,C5H10NO2S,C13-label-2,sample_3,4893.333,cellline_3,culture_3,L-Methionine
23,L-Methionine,C5H10NO2S,C13-label-3,sample_3,0.0,cellline_3,culture_3,L-Methionine
24,L-Methionine,C5H10NO2S,C13-label-4,sample_3,0.0,cellline_3,culture_3,L-Methionine
25,L-Methionine,C5H10NO2S,N15-label-1,sample_3,11594.84,cellline_3,culture_3,L-Methionine
26,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_3,0.0,cellline_3,culture_3,L-Methionine
27,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_3,0.0,cellline_3,culture_3,L-Methionine
28,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_3,47503.41,cellline_3,culture_3,L-Methionine
29,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_3,0.0,cellline_3,culture_3,L-Methionine
30,L-Methionine,C5H10NO2S,C12 PARENT,sample_5,6533572.0,cellline_5,culture_5,L-Methionine
31,L-Methionine,C5H10NO2S,C13-label-1,sample_5,341863.5,cellline_5,culture_5,L-Methionine
32,L-Methionine,C5H10NO2S,C13-label-2,sample_5,2831.92,cellline_5,culture_5,L-Methionine
33,L-Methionine,C5H10NO2S,C13-label-3,sample_5,0.0,cellline_5,culture_5,L-Methionine
34,L-Methionine,C5H10NO2S,C13-label-4,sample_5,0.0,cellline_5,culture_5,L-Methionine
35,L-Methionine,C5H10NO2S,N15-label-1,sample_5,8803.968,cellline_5,culture_5,L-Methionine
36,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_5,0.0,cellline_5,culture_5,L-Methionine
37,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_5,3272.313,cellline_5,culture_5,L-Methionine
38,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_5,0.0,cellline_5,culture_5,L-Methionine
39,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_5,0.0,cellline_5,culture_5,L-Methionine
40,L-Methionine,C5H10NO2S,C12 PARENT,sample_6,2661210.0,cellline_6,culture_6,L-Methionine
41,L-Methionine,C5H10NO2S,C13-label-1,sample_6,155140.4,cellline_6,culture_6,L-Methionine
42,L-Methionine,C5H10NO2S,C13-label-2,sample_6,0.0,cellline_6,culture_6,L-Methionine
43,L-Methionine,C5H10NO2S,C13-label-3,sample_6,0.0,cellline_6,culture_6,L-Methionine
44,L-Methionine,C5H10NO2S,C13-label-4,sample_6,0.0,cellline_6,culture_6,L-Methionine
45,L-Methionine,C5H10NO2S,N15-label-1,sample_6,1649.552,cellline_6,culture_6,L-Methionine
46,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_6,0.0,cellline_6,culture_6,L-Methionine
47,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_6,0.0,cellline_6,culture_6,L-Methionine
48,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_6,0.0,cellline_6,culture_6,L-Methionine
49,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_6,0.0,cellline_6,culture_6,L-Methionine
50,L-Methionine,C5H10NO2S,C12 PARENT,sample_8,653205.3,cellline_8,culture_8,L-Methionine
51,L-Methionine,C5H10NO2S,C13-label-1,sample_8,36216.43,cellline_8,culture_8,L-Methionine
52,L-Methionine,C5H10NO2S,C13-label-2,sample_8,0.0,cellline_8,culture_8,L-Methionine
53,L-Methionine,C5H10NO2S,C13-label-3,sample_8,0.0,cellline_8,culture_8,L-Methionine
54,L-Methionine,C5H10NO2S,C13-label-4,sample_8,0.0,cellline_8,culture_8,L-Methionine
55,L-Methionine,C5H10NO2S,N15-label-1,sample_8,0.0,cellline_8,culture_8,L-Methionine
56,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_8,0.0,cellline_8,culture_8,L-Methionine
57,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_8,0.0,cellline_8,culture_8,L-Methionine
58,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_8,0.0,cellline_8,culture_8,L-Methionine
59,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_8,2044.121,cellline_8,culture_8,L-Methionine
60,L-Methionine,C5H10NO2S,C12 PARENT,sample_9,6619542.0,cellline_9,culture_9,L-Methionine
61,L-Methionine,C5H10NO2S,C13-label-1,sample_9,255527.1,cellline_9,culture_9,L-Methionine
62,L-Methionine,C5H10NO2S,C13-label-2,sample_9,2561.678,cellline_9,culture_9,L-Methionine
63,L-Methionine,C5H10NO2S,C13-label-3,sample_9,0.0,cellline_9,culture_9,L-Methionine
64,L-Methionine,C5H10NO2S,C13-label-4,sample_9,0.0,cellline_9,culture_9,L-Methionine
65,L-Methionine,C5H10NO2S,N15-label-1,sample_9,53096.25,cellline_9,culture_9,L-Methionine
66,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_9,0.0,cellline_9,culture_9,L-Methionine
67,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_9,2566.192,cellline_9,culture_9,L-Methionine
68,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_9,51072.64,cellline_9,culture_9,L-Methionine
69,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_9,0.0,cellline_9,culture_9,L-Methionine
70,L-Methionine,C5H10NO2S,C12 PARENT,sample_11,1706625.0,cellline_11,culture_11,L-Methionine
71,L-Methionine,C5H10NO2S,C13-label-1,sample_11,95657.85,cellline_11,culture_11,L-Methionine
72,L-Methionine,C5H10NO2S,C13-label-2,sample_11,0.0,cellline_11,culture_11,L-Methionine
73,L-Methionine,C5H10NO2S,C13-label-3,sample_11,0.0,cellline_11,culture_11,L-Methionine
74,L-Methionine,C5H10NO2S,C13-label-4,sample_11,0.0,cellline_11,culture_11,L-Methionine
75,L-Methionine,C5H10NO2S,N15-label-1,sample_11,2445.116,cellline_11,culture_11,L-Methionine
76,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_11,0.0,cellline_11,culture_11,L-Methionine
77,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_11,2540.993,cellline_11,culture_11,L-Methionine
78,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_11,59294.45,cellline_11,culture_11,L-Methionine
79,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_11,0.0,cellline_11,culture_11,L-Methionine
80,L-Methionine,C5H10NO2S,C12 PARENT,sample_12,0.0,cellline_12,culture_12,L-Methionine
81,L-Methionine,C5H10NO2S,C13-label-1,sample_12,34087.6,cellline_12,culture_12,L-Methionine
82,L-Methionine,C5H10NO2S,C13-label-2,sample_12,0.0,cellline_12,culture_12,L-Methionine
83,L-Methionine,C5H10NO2S,C13-label-3,sample_12,0.0,cellline_12,culture_12,L-Methionine
84,L-Methionine,C5H10NO2S,C13-label-4,sample_12,0.0,cellline_12,culture_12,L-Methionine
85,L-Methionine,C5H10NO2S,N15-label-1,sample_12,9013.431,cellline_12,culture_12,L-Methionine
86,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_12,0.0,cellline_12,culture_12,L-Methionine
87,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_12,0.0,cellline_12,culture_12,L-Methionine
88,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_12,31934.75,cellline_12,culture_12,L-Methionine
89,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_12,0.0,cellline_12,culture_12,L-Methionine
